Row,Port Num,Port Name,lat,lon,MarineTrafficPortType,MarineTrafficPortType_num,ConsolidatedPortType,ConsolidatedPortType_num
790,263,LANDINGS,26.55234,-81.92175,Medium-sized Marina/Local Harbour,5,Recreational,3
793,264,LANDS END,27.77969,-82.42314,Medium-sized Marina/Local Harbour,5,Recreational,3
796,265,LARGO INTERCOASTAL,27.8864,-82.8394,Small-sized Marina/Local Harbour,9,Recreational,3
799,266,LEGACY,26.6403,-81.8756,Medium-sized Marina/Local Harbour,5,Recreational,3
802,267,LEGEND POINT,29.5438,-95.03706,Medium-sized Marina/Local Harbour,5,Recreational,3
805,268,LEGENDARY,30.4033,-86.425,Small-sized Marina/Local Harbour,9,Recreational,3
808,269,LEMON BAY,26.94498,-82.35297,Small-sized Marina/Local Harbour,9,Recreational,3
811,270,LILLIAN,30.4053,-87.437,Medium-sized Marina/Local Harbour,5,Recreational,3
814,271,LITTLE BIG MAN'S,26.9953,-81.0755,Small-sized Marina/Local Harbour,9,Recreational,3
817,272,LITTLE HARBOR,27.7271,-82.47575,Small-sized Marina/Local Harbour,9,Recreational,3
820,273,LITTLE TORCH KEY,24.66671,-81.38361,Small-sized Marina/Local Harbour,9,Recreational,3
823,274,LONGBOAT KEY CLUB,27.3389,-82.5903,Small-sized Marina/Local Harbour,9,Recreational,3
826,275,LONGBOAT KEY,27.3708,-82.6169,Medium-sized Marina/Local Harbour,5,Recreational,3
829,276,LUTE'S MARINE,29.2486,-95.2347,Medium-sized Marina/Local Harbour,5,Recreational,3
832,277,MADEIRA BAY,27.78887,-82.78358,Medium-sized Marina/Local Harbour,5,Recreational,3
835,278,MADEIRA BEACH,27.80368,-82.7948,Small-sized Marina/Local Harbour,9,Recreational,3
838,279,MALAGA,26.56593,-81.9409,Medium-sized Marina/Local Harbour,5,Recreational,3
841,280,MANATEE LANDING,27.4997,-82.5575,Small-sized Marina/Local Harbour,9,Recreational,3
844,281,MANGROVE,25.0117,-80.5192,Small-sized Marina/Local Harbour,9,Recreational,3
847,282,MAR VISTA,27.4375,-82.6808,Small-sized Marina/Local Harbour,9,Recreational,3
850,283,MARATHON,24.7074,-81.09178,Small-sized Marina/Local Harbour,9,Recreational,3
853,284,MARATHON BOAT YARD,24.70864,-81.10741,Small-sized Marina/Local Harbour,9,Recreational,3
856,285,MARCO ISLAND,25.9608,-81.7119,Small-sized Marina/Local Harbour,9,Recreational,3
859,286,MARINA BAY RESORT,30.4025,-86.6092,Medium-sized Marina/Local Harbour,5,Recreational,3
862,287,MARINA BEACH RESORT,27.70631,-82.677,Small-sized Marina/Local Harbour,9,Recreational,3
